NAME,METAPHONE_A,METAPHONE_B,REGEX_CV
MARIA,MR,MR,CACIA
CARMEN,KRMN,KRMN,CACEC
JOSEFA,JSF,HSF,COCECA
ISABEL,ASPL,ASPL,ICACEC
ANA,AN,AN,ACA
LAURA,LR,LR,CAUCA
CRISTINA,KRSTN,KRSTN,CICICA
FRANCISCA,FRNSSK,FRNSSK,CACICA
MARTA,MRT,MRT,CACA
ANTONIA,ANTN,ANTN,ACOCIA
DOLORES,TLRS,TLRS,COCOCEC
LUCIA,LS,LX,CUCIA
SARA,SR,SR,CACA
ELENA,ALN,ALN,ECECA
PILAR,PLR,PLR,CICAC
PAULA,PL,PL,CAUCA
CONCEPCION,KNSPSN,KNSPXN,COCECIOC
MANUELA,MNL,MNL,CACUECA
RAQUEL,RKL,RKL,CACUEC
MERCEDES,MRSTS,MRSTS,CECECEC
ROSARIO,RSR,RSR,COCACIO
JUANA,JN,AN,CUACA
TERESA,TRS,TRS,CECECA
BEATRIZ,PTRS,PTRS,CEACIC
ENCARNACION,ANKRNSN,ANKRNXN,ECACACIOC
NURIA,NR,NR,CUCIA
SILVIA,SLF,SLF,CICIA
JULIA,JL,AL,CUCIA
MONTSERRAT,MNTSRT,MNTSRT,COCECAC
IRENE,ARN,ARN,ICECE
PATRICIA,PTRS,PTRX,CACICIA
ROSA,RS,RS,COCA
ALBA,ALP,ALP,ACA
ANDREA,ANTR,ANTR,ACEA
ROCIO,RS,RX,COCIO
MONICA,MNK,MNK,COCICA
ANGELA,ANJL,ANKL,ACECA
ALICIA,ALS,ALX,ACICIA
SONIA,SN,SN,COCIA
SANDRA,SNTR,SNTR,CACA
SUSANA,SSN,SSN,CUCACA
MARINA,MRN,MRN,CACICA
MARGARITA,MRKRT,MRKRT,CACACICA
YOLANDA,ALNT,ALNT,YOCACA
NATALIA,NTL,NTL,CACACIA
INMACULADA,ANMKLT,ANMKLT,ICACUCACA
EVA,AF,AF,ECA
ESTHER,AS0R,ASTR,ECEC
CLAUDIA,KLT,KLT,CAUCIA
ANGELES,ANJLS,ANKLS,ACECEC
NOELIA,NL,NL,COECIA
VERONICA,FRNK,FRNK,CECOCICA
CARLA,KRL,KRL,CACA
AMPARO,AMPR,AMPR,ACACO
CAROLINA,KRLN,KRLN,CACOCICA
NEREA,NR,NR,CECEA
SOFIA,SF,SF,COCIA
LORENA,LRN,LRN,COCECA
MIRIAM,MRM,MRM,CICIAC
VICTORIA,FKTR,FKTR,CICOCIA
INES,ANS,ANS,ICEC
CATALINA,KTLN,KTLN,CACACICA
CONSUELO,KNSL,KNSL,COCUECO
LIDIA,LT,LT,CICIA
EMILIA,AML,AML,ECICIA
LUISA,LS,LS,CUICA
CELIA,SL,SL,CECIA
GLORIA,KLR,KLR,COCIA
